image_url,title,source,tags
https://picsum.photos/seed/art1/480/320,Mona Lisa — Leonardo da Vinci,Louvre,"portrait,renaissance,oil painting"
https://picsum.photos/seed/art2/380/520,The Starry Night — Vincent van Gogh,Museum of Modern Art,"post-impressionism,night,landscape"
https://picsum.photos/seed/art3/360/560,Girl with a Pearl Earring — Johannes Vermeer,Mauritshuis,"portrait,dutch golden age,oil painting"
https://picsum.photos/seed/art4/420/420,The Great Wave off Kanagawa — Katsushika Hokusai,Metropolitan Museum of Art,"ukiyo-e,woodblock,seascape"
https://picsum.photos/seed/art5/520/300,Water Lilies — Claude Monet,Musée de l'Orangerie,"impressionism,landscape,garden"
https://picsum.photos/seed/art6/400/480,The Birth of Venus — Sandro Botticelli,Uffizi Gallery,"renaissance,mythology,figure"
https://picsum.photos/seed/art7/480/320,"Impression, Sunrise — Claude Monet",Musée Marmottan Monet,"impressionism,harbor,landscape"
https://picsum.photos/seed/art8/380/520,The Night Watch — Rembrandt van Rijn,Rijksmuseum,"dutch golden age,group portrait,baroque"
https://picsum.photos/seed/art9/360/560,American Gothic — Grant Wood,Art Institute of Chicago,"regionalism,portrait,rural"
https://picsum.photos/seed/art10/420/420,The Scream — Edvard Munch,National Museum of Norway,"expressionism,figure,landscape"
https://picsum.photos/seed/art11/520/300,Las Meninas — Diego Velázquez,Museo del Prado,"baroque,portrait,court painting"
https://picsum.photos/seed/art12/400/480,The Persistence of Memory — Salvador Dalí,Museum of Modern Art,"surrealism,landscape,still life"
https://picsum.photos/seed/art13/480/320,A Sunday on La Grande Jatte — Georges Seurat,Art Institute of Chicago,"pointillism,landscape,leisure"
https://picsum.photos/seed/art14/380/520,Whistler's Mother — James McNeill Whistler,Musée d'Orsay,"portrait,realism,interior"
https://picsum.photos/seed/art15/360/560,The Kiss — Gustav Klimt,Belvedere,"art nouveau,figure,gold leaf"
https://picsum.photos/seed/art16/420/420,Wanderer above the Sea of Fog — Caspar David Friedrich,Kunsthalle Hamburg,"romanticism,landscape,mountain"
https://picsum.photos/seed/art17/520/300,The Arnolfini Portrait — Jan van Eyck,National Gallery London,"northern renaissance,portrait,interior"
